query,label,predicted_label,confidence
What organizations are contributing to scientific advancements?,organizations,organizations,0.997658371925354
List the partner organizations in our research database.,organizations,organizations,0.9993081092834473
Show me all institutes and organizations involved in research.,organizations,organizations,0.9991280436515808
Identify the organizations with active research programs.,organizations,organizations,0.999398946762085
Retrieve the list of companies and institutions in our database.,organizations,organizations,0.9992902278900146
Display the names of organizations affiliated with our projects.,organizations,organizations,0.9993733763694763
I want a list of the research bodies working on bionomes,organizations,organizations,0.99308842420578
List the institutions that collaborate on academic research.,organizations,organizations,0.9992148876190186
Show me the roster of organizations involved in innovation.,organizations,organizations,0.9994789958000183
Identify all organizations registered on the research platform.,organizations,organizations,0.9993932247161865
Display a list of organizations driving scientific research.,organizations,organizations,0.9994789958000183
What organizations have partnered with leading universities?,organizations,organizations,0.9969929456710815
List the organizations that support interdisciplinary research.,organizations,organizations,0.9994279742240906
Show me the complete directory of research organizations.,organizations,organizations,0.9992840886116028
What are the latest research publications available?,papers,papers,0.959266185760498
List the most recent scholarly articles.,papers,papers,0.9993267059326172
Show me the new research papers added to the database.,papers,papers,0.9992710947990417
Which academic papers were published this month?,papers,papers,0.9564637541770935
Retrieve a list of current research publications.,papers,papers,0.9989449381828308
Display the latest articles in the repository.,papers,papers,0.9987069368362427
What research papers are trending right now?,papers,papers,0.9933846592903137
List the newly published academic papers.,papers,papers,0.998792290687561
Show me the recent studies available as papers.,papers,papers,0.9991402626037598
give me papers on using artificial intelligence in digital governance?,papers,papers,0.9970288872718811
Display a collection of recent scholarly papers.,papers,papers,0.9994444251060486
What are the current research articles on the platform?,papers,papers,0.994066596031189
List the academic publications added this week.,papers,papers,0.9725249409675598
Show me the recent papers in the research archive.,papers,papers,0.9994031190872192
Which scholarly articles are newly available?,papers,papers,0.9864219427108765
Retrieve the list of the latest research papers.,papers,papers,0.9994194507598877
Display new academic papers in our collection.,papers,papers,0.9994062185287476
What are the top recent publications in research?,papers,authors,0.6385595798492432
List the newly added research articles.,papers,papers,0.9989067316055298
are there available publications related to bionomes.,papers,papers,0.9988471269607544
Which research papers have been recently published?,papers,papers,0.9164429306983948
Display the list of current scholarly publications.,papers,papers,0.9926651120185852
What are the most recent academic articles available?,papers,papers,0.9702003002166748
List the fresh research papers in the database.,papers,papers,0.9994069337844849
Show me the latest academic research articles.,papers,papers,0.9993276596069336
