query,label
"Find 2019 deep learning studies","papers"
"List academic deep learning papers from 2019","papers"
"Display published work on deep learning in 2019","papers"
"Show all authors in the dataset","authors"
"List all authors present in the scholarly data","authors"
"Display the complete list of authors","authors"
"Enumerate researchers from the dataset","authors"
"Provide names of all authors","authors"
"Which authors have multiple publications?","authors"
"List active researchers in the dataset","authors"
"Show academic authors from the repository","authors"
"Display names of published authors","authors"
"List contributing authors from the knowledge graph","authors"
"Provide a roster of authors","authors"
"Enumerate all academic contributors","authors"
"Show authors with research records","authors"
"List all faculty and researchers","authors"
"Display the list of all scholarly authors","authors"
"Which authors are recognized in the dataset?","authors"
"List researchers and academicians","authors"
"Show the author directory","authors"
"Display the list of active authors","authors"
"Provide complete author details","authors"
"Enumerate all authors in the scholarly domain","authors"
"Show names of researchers in the dataset","authors"
"List all academic author names","authors"
"Display full author information","authors"
"Provide a summary of authors","authors"
"Which researchers have published work?","authors"
"List prominent authors in the data","authors"
"Display academic contributors","authors"
"Show all authors along with their affiliations","authors"
"List researchers with multiple contributions","authors"
"Display the scholar author list","authors"
"Enumerate all authors and their details","authors"
"Show full list of contributing researchers","authors"
"Display the academic author directory","authors"
"List all researchers active in the field","authors"
"Show complete researcher details","authors"
"Display all scholarly contributors","authors"
"List all academic professionals","authors"
"Provide names of all research authors","authors"
"Show all authors from the database","authors"
"Which organizations are represented in the dataset?","organizations"
"List all universities and institutes in the dataset","organizations"
"Display the organizations present in the scholarly data","organizations"
"Provide a list of organizations involved","organizations"
"Show all organizations in the dataset","organizations"
"List the academic organizations in the data","organizations"
"Display research institutions from the dataset","organizations"
"Which organizations contributed to the dataset?","organizations"
"List all research institutions","organizations"
"Display a roster of organizations","organizations"
"Provide the complete list of organizations","organizations"
"Enumerate all academic institutions","organizations"
"Show all organizations and institutes","organizations"
"List all scholarly organizations","organizations"
"Display the institutional contributors","organizations"
"Which research organizations are active?","organizations"
"List all universities participating in the dataset","organizations"
"Display research institutes from the data","organizations"
"Provide organization details from the knowledge graph","organizations"
"List all organizations by name","organizations"
"Show the complete organization list","organizations"
"Display names of all organizations","organizations"
"List universities and institutes represented","organizations"
"Provide organization information from the dataset","organizations"
"Enumerate contributing organizations","organizations"
"Show all academic organizations","organizations"
"Display research centers and institutes","organizations"
"List all organizations by category","organizations"
"Show all organizations with affiliations","organizations"
"Display institutional research entities","organizations"
"Provide a complete list of institutions","organizations"
"List all scholarly institutions","organizations"
"Show organizations active in research","organizations"
"Display detailed organization information","organizations"
"List all organizations in the knowledge graph","organizations"
"Show research institutions and universities","organizations"
"Display final organization roster","organizations"
"List all universities and research centers","organizations"
"Show me papers from the ISWC 2020 conference","papers_by_conference"
"List all papers presented at ISWC 2020","papers_by_conference"
"Find research papers from ISWC 2020","papers_by_conference"
"Display papers from ISWC 2020","papers_by_conference"
"Retrieve all papers from ISWC 2020","papers_by_conference"
"Show papers from ISWC 2020","papers_by_conference"
"List ISWC 2020 papers","papers_by_conference"
"Display research from ISWC 2020","papers_by_conference"
"Find all papers in ISWC 2020","papers_by_conference"
"List detailed ISWC 2020 papers","papers_by_conference"
"Show the ISWC 2020 paper collection","papers_by_conference"
"List detailed papers from ACL 2019","papers_by_conference"
"Display published papers from NeurIPS 2021","papers_by_conference"
"Retrieve academic papers from CVPR 2020","papers_by_conference"
"Show all research articles from SIGKDD 2018","papers_by_conference"
"List conference research from ISWC 2020","papers_by_conference"
"Display scholarly papers from ACL 2019","papers_by_conference"
"Provide a list of papers from NeurIPS 2021","papers_by_conference"
"Show ISWC 2020 proceedings","papers_by_conference"
"List all papers presented at ACL 2019","papers_by_conference"
"Display the research collection from NeurIPS 2021","papers_by_conference"
"Enumerate all papers from CVPR 2020","papers_by_conference"
"Show detailed ISWC 2020 research papers","papers_by_conference"
"List academic papers from ACL 2019","papers_by_conference"
"Display complete papers from NeurIPS 2021","papers_by_conference"
"Provide ISWC 2020 conference papers","papers_by_conference"
"List scholarly articles from ACL 2019","papers_by_conference"
"Show published research from NeurIPS 2021","papers_by_conference"
"Display CVPR 2020 paper list","papers_by_conference"
"Enumerate SIGKDD 2018 research papers","papers_by_conference"
"List all proceedings from ISWC 2020","papers_by_conference"
"Show a comprehensive list of ACL 2019 papers","papers_by_conference"
"Display detailed research from NeurIPS 2021","papers_by_conference"
"List complete research articles from CVPR 2020","papers_by_conference"
"Provide ISWC 2020 academic papers","papers_by_conference"
"Show all research outputs from ACL 2019","papers_by_conference"
"Display conference proceedings from NeurIPS 2021","papers_by_conference"
"List scholarly papers from CVPR 2020","papers_by_conference"
"Show detailed academic papers from SIGKDD 2018","papers_by_conference"
"Provide a list of research papers from ISWC 2020","papers_by_conference"
"Display all ISWC 2020 papers","papers_by_conference"
"List final academic papers from ACL 2019","papers_by_conference"
"Show research articles from NeurIPS 2021","papers_by_conference"
"Display complete conference papers from CVPR 2020","papers_by_conference"
"Enumerate SIGKDD 2018 proceedings","papers_by_conference"
"Show me the ISWC 2020 paper collection","papers_by_conference"
"List detailed research from ISWC 2020","papers_by_conference"
"Display all academic outputs from ISWC 2020","papers_by_conference"
"List complete research from ISWC 2020","papers_by_conference"
"Show all conference papers from ISWC 2020","papers_by_conference"
"Display detailed proceedings from ISWC 2020","papers_by_conference"
"List all peer-reviewed papers from ISWC 2020","papers_by_conference"
"Show comprehensive ISWC 2020 papers","papers_by_conference"
"Retrieve a list of ISWC 2020 papers","papers_by_conference"
"List conference publications from ISWC 2020","papers_by_conference"
"Display all proceedings from ISWC 2020","papers_by_conference"
"Find research outputs from the ISWC 2020 conference","papers_by_conference"
"List scholarly contributions from ISWC 2020","papers_by_conference"
"Show all papers of ISWC 2020","papers_by_conference"
"Retrieve deep learning papers from ISWC 2020","papers_by_conference"
"List innovative research from ISWC 2020","papers_by_conference"
"Display ISWC 2020 paper set","papers_by_conference"
"Find all significant papers from ISWC 2020","papers_by_conference"
"List detailed academic papers from ISWC 2020","papers_by_conference"
"Show the full list of ISWC 2020 papers","papers_by_conference"
"Retrieve every paper from ISWC 2020","papers_by_conference"
"List final ISWC 2020 papers","papers_by_conference"
"Give me papers by John Doe","papers_by_author"
"List research articles authored by Jane Smith","papers_by_author"
"Show publications by Aldo Gangemi","papers_by_author"
"Display academic papers by Maria Garcia","papers_by_author"
"Find all papers written by Chen Li","papers_by_author"
"List scholarly works by John Doe","papers_by_author"
"Show research outputs by Jane Smith","papers_by_author"
"Retrieve academic papers by Aldo Gangemi","papers_by_author"
"List publications by Maria Garcia","papers_by_author"
"Display detailed papers by Chen Li","papers_by_author"
"Provide a list of papers by John Doe","papers_by_author"
"Show me all research by Jane Smith","papers_by_author"
"List comprehensive publications by Aldo Gangemi","papers_by_author"
"Display research articles by Maria Garcia","papers_by_author"
"Find academic papers by Chen Li","papers_by_author"
"List all papers authored by John Doe","papers_by_author"
"Show published works by Jane Smith","papers_by_author"
"Display all papers by Aldo Gangemi","papers_by_author"
"List research outputs by Maria Garcia","papers_by_author"
"Retrieve all publications by Chen Li","papers_by_author"
"Provide research papers by John Doe","papers_by_author"
"Show detailed research by Jane Smith","papers_by_author"
"List academic outputs by Aldo Gangemi","papers_by_author"
"Display scholarly articles by Maria Garcia","papers_by_author"
"Find all research papers by Chen Li","papers_by_author"
"List comprehensive works by John Doe","papers_by_author"
"Show academic publications by Jane Smith","papers_by_author"
"Display complete papers by Aldo Gangemi","papers_by_author"
"List research articles by Maria Garcia","papers_by_author"
"Retrieve academic outputs by Chen Li","papers_by_author"
"Provide detailed papers by John Doe","papers_by_author"
"Show all scholarly works by Jane Smith","papers_by_author"
"List all publications by Aldo Gangemi","papers_by_author"
"Display research papers authored by Maria Garcia","papers_by_author"
"Find academic research by Chen Li","papers_by_author"
"List detailed academic papers by John Doe","papers_by_author"
"Show comprehensive research outputs by Jane Smith","papers_by_author"
"Display all research articles by Aldo Gangemi","papers_by_author"
"List scholarly works by Maria Garcia","papers_by_author"
"Find all research papers by Chen Li","papers_by_author"
"Show academic publications by John Doe on deep learning","papers_by_author"
"Display all research by Jane Smith in detail","papers_by_author"
"Display papers by Aldo Gangemi on NLP","papers_by_author"
"List comprehensive outputs by Maria Garcia","papers_by_author"
"Find all academic papers by Chen Li on computer vision","papers_by_author"
"Show scholarly works by John Doe","papers_by_author"
"Display detailed publications by Jane Smith","papers_by_author"
"List all papers by Aldo Gangemi in 2020","papers_by_author"
"Show research outputs by Maria Garcia from 2019","papers_by_author"
"Display academic articles by Chen Li","papers_by_author"
"List publications by John Doe on machine learning","papers_by_author"
"Show all research articles by Jane Smith","papers_by_author"
"Display detailed academic outputs by Aldo Gangemi","papers_by_author"
"List scholarly works by Maria Garcia","papers_by_author"
"Find all research papers by Chen Li","papers_by_author"
"Show academic publications by John Doe","papers_by_author"
"Display detailed research by Jane Smith","papers_by_author"
"List all papers authored by Aldo Gangemi","papers_by_author"
"Show comprehensive research articles by Maria Garcia","papers_by_author"
"List final academic papers by Chen Li","papers_by_author"
"List authors affiliated with harvard","authors_by_organization"
"Show me authors from mit","authors_by_organization"
"Display researchers from oxford","authors_by_organization"
"List all authors from stanford","authors_by_organization"
"Provide a roster of authors from carnegie mellon","authors_by_organization"
"Enumerate authors working at harvard","authors_by_organization"
"Show academic authors affiliated with mit","authors_by_organization"
"Display researchers from oxford university","authors_by_organization"
"List contributing authors from stanford university","authors_by_organization"
"Provide names of authors from carnegie mellon university","authors_by_organization"
"List all scholars from harvard","authors_by_organization"
"Show detailed author list from mit","authors_by_organization"
"Display academic contributors from oxford","authors_by_organization"
"List researchers affiliated with stanford","authors_by_organization"
"Provide a complete list of harvard authors","authors_by_organization"
"Enumerate mit researchers","authors_by_organization"
"Show all authors from oxford","authors_by_organization"
"List authors working at stanford","authors_by_organization"
"Display a roster of authors from carnegie mellon","authors_by_organization"
"List all academic authors from harvard","authors_by_organization"
"Show mit-affiliated researchers","authors_by_organization"
"Display names of oxford researchers","authors_by_organization"
"List all authors from stanford university","authors_by_organization"
"Show detailed author info from carnegie mellon","authors_by_organization"
"Provide harvard academic contributor names","authors_by_organization"
"Enumerate researchers from mit","authors_by_organization"
"Display the full author list from oxford","authors_by_organization"
"List all scholars affiliated with stanford","authors_by_organization"
"Show harvard researcher roster","authors_by_organization"
"Display detailed names of mit authors","authors_by_organization"
"List all academic authors from oxford university","authors_by_organization"
"Show researchers affiliated with stanford university","authors_by_organization"
"Provide a comprehensive list of harvard authors","authors_by_organization"
"Enumerate mit researchers by name","authors_by_organization"
"Display oxford academic names","authors_by_organization"
"List all contributing authors from stanford","authors_by_organization"
"Show complete researcher list from harvard","authors_by_organization"
"Display names of mit-affiliated researchers","authors_by_organization"
"List all academic contributors from oxford","authors_by_organization"
"Show detailed names of stanford researchers","authors_by_organization"
"Display harvard academic authors","authors_by_organization"
"List all authors from mit university","authors_by_organization"
"Show oxford scholar list","authors_by_organization"
"Display the full roster of stanford authors","authors_by_organization"
"List academic researchers from harvard","authors_by_organization"
"Show all authors with affiliations from mit","authors_by_organization"
"Display oxford academic contributors","authors_by_organization"
"List final names of stanford researchers","authors_by_organization"
"Who presented at the ISWC 2020 conference?","authors_by_conference"
"List authors who published in ISWC 2020","authors_by_conference"
"Display researchers from ISWC 2020","authors_by_conference"
"Show authors from the ISWC 2020 event","authors_by_conference"
"Retrieve author list from ISWC 2020","authors_by_conference"
"List all presenters at ISWC 2020","authors_by_conference"
"Display detailed authors from ISWC 2020","authors_by_conference"
"Show all authors who attended ISWC 2020","authors_by_conference"
"List researchers presenting at ISWC 2020","authors_by_conference"
"Display academic authors from ISWC 2020","authors_by_conference"
"Show the complete list of ISWC 2020 authors","authors_by_conference"
"List all contributing authors at ISWC 2020","authors_by_conference"
"Display authors with papers at ISWC 2020","authors_by_conference"
"Show names of researchers from ISWC 2020","authors_by_conference"
"List academic participants from ISWC 2020","authors_by_conference"
"Display the researcher roster from ISWC 2020","authors_by_conference"
"List all conference authors from ISWC 2020","authors_by_conference"
"Show detailed presenters from ISWC 2020","authors_by_conference"
"Display academic contributors from ISWC 2020","authors_by_conference"
"List all researchers from ISWC 2020","authors_by_conference"
"Show the full author list from ISWC 2020","authors_by_conference"
"List all conference presenters from ISWC 2020","authors_by_conference"
"Display names of researchers from ISWC 2020","authors_by_conference"
"List detailed academic authors from ISWC 2020","authors_by_conference"
"Show all participants from ISWC 2020","authors_by_conference"
"Display complete list of SIGKDD 2018 authors","authors_by_conference"
"List scholarly authors from ISWC 2020","authors_by_conference"
"Show detailed presenters from ACL 2019","authors_by_conference"
"Display academic contributors from NeurIPS 2021","authors_by_conference"
"List all researchers presenting at CVPR 2020","authors_by_conference"
"Show the full author list from SIGKDD 2018","authors_by_conference"
"List all conference presenters from ISWC 2020","authors_by_conference"
"Display names of researchers from ACL 2019","authors_by_conference"
"List detailed academic authors from NeurIPS 2021","authors_by_conference"
"Show all participants from CVPR 2020","authors_by_conference"
"Display complete list of SIGKDD 2018 authors","authors_by_conference"
"List all conference authors from ISWC 2020","authors_by_conference"
"Show names of academic authors from ACL 2019","authors_by_conference"
"Display detailed researcher list from NeurIPS 2021","authors_by_conference"
"List all conference authors from CVPR 2020","authors_by_conference"
"Show full roster of SIGKDD 2018 presenters","authors_by_conference"
"Display academic contributors from ISWC 2020","authors_by_conference"
"List all researchers presenting at ACL 2019","authors_by_conference"
"Show detailed academic outputs from NeurIPS 2021","authors_by_conference"
"Display names of conference authors from CVPR 2020","authors_by_conference"
"List final academic presenters from SIGKDD 2018","authors_by_conference"
"Show all academic names from ISWC 2020","authors_by_conference"
